X	Y	F_XY
0.72796351	0.81243135	-178.98906710
0.21479132	0.80315710	-179.62139318
0.73211749	0.01199205	-180.00611184
0.81686539	0.57773989	-179.56753968
0.36374810	0.55097339	-179.74162990
0.91358759	0.24435999	-180.04029729
0.46357359	0.39627422	-179.86677011
0.51704421	0.42636201	-179.83200940
0.41922293	0.25624118	-179.96245588
0.99945829	0.61557118	-179.47873662
0.23831333	0.48408042	-179.85995785
0.10266764	0.94773312	-179.73334208
0.72359915	0.15853414	-180.02844899
0.00644130	0.21001669	-179.99915639
0.43339185	0.37776524	-179.88541148
0.60479020	0.96673187	-178.65794540
0.51426409	0.13528793	-180.00754181
0.95508332	0.20054332	-180.06769889
0.07499753	0.66211338	-179.90508871
0.77133755	0.15102998	-180.03707429
